"lat","lng"
"-12.0507069","-75.2006232"
"-12.0805335","-75.2077477"
"-12.0619665","-75.286303"
"-11.161454","-75.994228"
"-11.419674","-75.689444"
"-11.5221422","-75.9078668"
"-11.929703","-75.310675"
"-11.4190866","-75.6985514"
"-11.7682344","-75.4990768"
"-12.400521","-74.874136"
"-12.060336","-75.214062"
"-11.9897922","-75.244276"
"-11.3543469","-75.6589767"
"-12.1161196","-74.630505"
"-12.0620734","-75.2860043"
"-12.058949","-75.211295"
"-11.42039","-75.68787"
"-12.059464","-75.214682"
